Film,Director,tmdbrating,overview,genre
*****... (Los Asteriscos...),Arturo Pons,0.0,"Waiter #2 is the character of a movie who interprets himself and becomes self-aware. Sarah is a kleptomaniac with a fond for kid's bicycles trying to overcome her sickness. Sami is a mascot costume who discovers contemporary dance and desires to become a professional dancer. Lazarus enjoys watching people die, since he was resurrected 2000 years ago and became immortal. These characters reunite in a drugsture to find the meaning of life.",
¡Qué viva México!,Luis Estrada,4.8,"After his grandfather's death, a man travels with his wife and kids to his hometown, where chaos ensues with his relatives over the inheritance.",Comedy
¿Mamá o papá?,Ernesto Contreras,7.3,"Flora and Victor are fun, modern, caring parents. That is, until they decide to get a divorce, and the perfect job opportunity turns up for them. They now have one problem: custody.",Comedy
¿Qué culpa tiene el karma?,Elisa Miller,6.975,"The travails of Sara, a frustrated fashion designer who blames karma for her bad luck. Fate will put her face to face with her sister, Lucy, who enjoys very different luck, and in a series of events and reunions that will lead her to make a radical decision.",Romance
¿Qué hacemos con mamá?,José Ramón Chávez Delgado,,,
¿Qué harás cuando Dios muera?,Hugo Villaseñor,6.5,Ximena and Güero are a couple who decide to shoot a porno flick in order to earn some extra cash and live new experiences to grow their relationship.,
¿Qué hicimos mal?,Liliana Torres,5.7,"Pushing 40 in a cycle of failed relationships, Lili tracks down former lovers to ask, “What went wrong?” Wouldn’t that be enough already for a beautiful film that cannot but interest the whole world (searching for love)?",Comedy
37 km,Rafael Montero,0.0,Mexican feature film,
500 millones de zapatos rojos,Carlos Kaiser,,,
A Mutts Tale,"Bruce Morris, Patricia García Peña",0.0,"Ixtán, a quetzal incarnation of Quetzalcoatl, seeks the descendant of the Xolo Ancestral to fulfill a mission: restore love between dogs and humans. He finds it in Ramon, a cunning xoloitzcuintle streetdog, who tries to save Ruby, a lost Shetland shepherd, cornered by Barboza, the worst enemy of stray dogs, who wants to exterminate them all. Ixtán, Ramón and Ruby will make an epic journey to escape Barboza and reach the owners of Ruby. Will they be able to put an end to the dangerous Barboza to save the stray dogs of this country and thus heal the hearts of humans?",
A puerta cerrada,Javier Solórzano Casarin,0.0,"""Hell is other people."" Three recently-deceased persons are locked into a hotel suite together for all eternity. Adaptation of Huis clos, by Jean Paul Sartre.",Drama
"Adiós, amor",Indra Villaseñor Amador,5.0,A young man kidnaps a woman and embarks on an energetic crime spree. The reason for his behavior gradually becomes apparent.,
Adolfo,Sofía Auza,2.0,"When Momo, Hugo and his cactus, Adolfo, meet one night, they are heading in opposite directions. Their peculiar encounter will not only magically change the course of their lives, but also encourage them to warmly embrace the beauty of the unexpected.",Drama
Adriela,Bruno Musso,0.0,,Thriller
Agua de arrayán,Alejandro Robles Gil,5.8,,
Agua rosa,"Antónimo (Miguel López Valdivia, Ca Silva)",0.0,,
Al son de Beno,Ilán Lieberman,6.0,,Documentary
Alebrijes,"Rodolfo Riva Palacio, Gabriel Riva Palacio",7.0,"Alebrijes is based in the true story of Pedro Linares: a traditional mexican craftsman who, after having an accident, enters the magical world of the alebrijes. In this bizarre planet he meets Mapache, a weird raccoon-like animal, and many other eerie yet beautiful beings.",Animation
Allá,Monserrat Larqué,6.939,A spoiled girl is sent to her family's ranch to work during summer vacations.,Comedy
Allá donde nace el sol,"Laura Bermúdez, Jorge García",,,
Amor fantasma,Marusia Estrada,0.0,,Comedy
Amores incompletos,Gilberto González Penilla,2.0,,Comedy
Amparo Ochoa. Se me reventó el barzón,Modesto López,0.0,"Supported by current images and national and international archives, this documentary narrates the life of the singer Amparo Ochoa, who learned music from her father, in Sinaloa. His passion for teaching, the decision to live in Mexico City, his indispensable role in the Mexican scene of the seventies and eighties, as well as his constant criticism of the government, are narrated by family and friends, such as Óscar Chávez, Gabino Palomares and Mercedes Sosa, who speak of the consolidation of the artist as a fundamental figure of Mexican popular song and feminist militancy.",Documentary
Anónima,María Torres,7.68,"After an accidental text message turns into a digital friendship, Vale and Alex start crushing on each other without realizing they've met in real life.",Drama
Apenas primavera,Rafael Martínez-García,,,
Asunción,Francisco Pérez,6.5,The vengeance of a housemaid against the family that hired her.,Drama
Autorrey,Juan Vildósola,0.0,"When people ignore a problem for long, it grows until it explodes. The metropolitan area of the city of Monterrey has been placing all its bets on private motorized vehicles as means of transportation for decades. This situation has caused social, economic, and environmental problems that cannot be ignored any longer.",
Bajo el puente de oro,Raúl Quintanilla,,,
Bardo (o falsa crónica de unas cuantas verdades),Alejandro González Iñárritu,,,
Beba,Rebeca Huntt,3.0,"A raw, poetic self-portrait in which young, NYC-born Afro-Latina Rebeca “Beba” Huntt stares down historical, societal, and generational trauma.",Documentary
Bendita suegra,Beto Gómez,,,
Bering II. Encuentro familiar,Lourdes Grobet,,,
Besos a tres labios,Martin Casanova,,,
Bonanza,Luis Robledo,8.0,"Two teenagers face the differences of their parents; this leads them to cope with their own afflictions and learn of tragedies that cloud their vision, to the point of beginning to live the grief of a new life, leaving aside their comfort, their ideologies and questioning themselves for what they really are.",Drama
Book of Love,Analeine Cal y Mayor,5.7,"Henry, an English writer who has written a new book that has become a failure in the U.K, gets notified that the dull book has been highly trending over in Mexico. Little does he know that Maria, a Spanish translator, turned the book into an erotic novel. Henry and Maria then swerve around Mexico to do a book tour and go through a wind of events.",Comedy
Buen salvaje,Santiago Mohar Volkow,,,
Caballero Águila,Alejandro Blázquez de Nicolás,,,
Calafia. Mujer de carne y hueso,Gabriel Fonseca Verdugo,,,
Campeón gabacho,Jonás Cuarón,,,
Cancuncito,"Carlos Alejandro Marulanda, Carlos Gutiérrez Aniceto",,,
Cautivo eternamente,Jonathan Sarmiento,,,
Con los años que me quedan,Frank Ariza,4.0,,
Concierto para otras manos,Ernesto González Díaz,,,
Confesiones,Carlos Carrera,0.0,"Gustavo S. was a secret agent of the Argentine Army and was imprisoned for two years (2001/03) due to a judicial case against Battalion 601 where he worked for several years. Definitely dismissed in the case, he currently resides in Barcelona. Ricardo R. was a militant of a well-known guerrilla organization is a journalist and investigates the criminal past of the 601 Battalion. Gustavo and Ricardo, almost teenage friends during the dictatorship (1976-1983), maintained a paradoxical relationship for almost 3 decades.",
Contratiempo,José Paredes,8.125,"Barcelona, Spain. Adrián Doria, a young and successful businessman accused of murder, meets one night with Virginia Goodman, an expert interrogation lawyer, in order to devise a defense strategy.",Drama
Corina,Urzula Barba Hopfner,0.0,"Portrait of the birth, apogee and renaissance of Corina. Super 8, movie Tri-X 2015.",
Correr para vivir,Gerardo Dorantes,,,
Cuando sea joven,Raúl Martínez,8.6,"70-year-old Malena gets a second chance at life when she magically turns into her 22-year-old self. Now, posing as ""Maria"" to hide her true identity, she becomes the lead singer of her grandson's band and tries to recover her dream of singing, which she had to give up at some point.",Comedy
Cuarentones,Pietro Loprieno,5.794,"After turning 40, César is invited to a culinary contest in Cancún, but a bitter discovery threatens to destroy his family as well as his chances to win the competition.",Comedy
Cuatas,Cecilia Martínez García,,,
Dando duro,Raúl Baena Amador,,,
Del manantial del corazón,René Vargas Madrigal,,,
Desaparecer por completo,Luis Javier Henaine,0.0,"After visiting a crime scene, an ambitious and insensitive tabloid crime photographer falls victim to a mysterious illness.",Thriller
Días negros,Francisco Laresgoiti,0.0,Mexican feature film,
Dirty Feathers,Carlos Alfonso Corral,0.0,"On the streets of border towns El Paso and Ciudad Juárez we meet people living without a home. In intimate, unbiased black-and-white images, the film captures their everyday lives on the streets, as well as their hopes and their faith.",Documentary
Distrito Olvido,Thom Díaz,0.0,"After living a childhood with high exposure to violence, through their words, young people tell us their feelings about their construction of being young, they talk about their day to day in one of the many neighborhoods thrown into the periphery in the Metropolitan Area of Monterrey, economic capital of Mexico, which has under its progress the shadow of high rates of juvenicides, femicides, drug trafficking and the unstoppable consumption of drugs.",Documentary
Donde hay agua,Lizbeth Pineda Alvarado,,,
El águila y el gusano,Guita Schyfter,,,
El canto de las moscas,Ricardo Soto,0.0,"The experimental animated film Song of the Flies (El Canto de las Moscas), translates the desolation caused by the violence of the Colombian armed conflict through the poetic voice of Maria Mercedes Carranza (1945–2003) and the audiovisual dialogue between 9 Colombian women. In 24 places, as a transit over the course of a day (Morning, Day, Night) a map of terror is drawn where massacres took place in Colombia in the 1990s. Archival images, the artists’ personal memories and the use of loops and analogue materials bring to life the landscapes ravaged by violence and build a polyphony of memory and mourning, a universal song of pain.",Documentary
El comediante,"Rodrigo Guardiola, Gabriel Nuncio",6.2,"A comedian finds new meaning in his life when his best friend asks him to be her sperm donor, and he meets a girl who connects with the cosmos.",Drama
El compromiso de las sombras,Sandra Luz López Barroso,0.0,"Lizbeth, a transsexual woman in charge of the funerary rituals in the small town of San Nicolas, has a gift that allows her to accompany the souls of the deceased with songs, prayers and music, in their journey towards the unknown. She embraces this skill with care, and it has made her a loved and respected figure in her community, where her intimate life is spent in solitude and silence.",Documentary
El comunismo en México y el movimiento estudiantil del 68,Saudhi Batalla,,,
El convento franciscano de Xalapa,Gustavo Vega,,,
El día es largo y oscuro,Julio Hernández Cordón,,,
El día que me fui para ser María,Sofía Castellanos,,,
El día que todo cambió,Javier Colinas,5.455,Film about the events surrounding the terrorist attacks in Copenhagen on February 14th and 15th 2015.,Drama
El eco,Tatiana Huezo,6.2,"In the remote village of El Echo that exists outside of time, the children care for the sheep and their elders. While the frost and drought punish the land, they learn to understand death, illness and love with each act, word and silence of their parents. A story about the echo of what clings to the soul, about the certainty of shelter provided by those around us, about rebellion and vertigo in the face of life. About growing up.",Documentary
El encargo de los dioses,Pedro Daniel López,,,
El extraño caso del fantasma claustrofóbico,Alejandro Sugich,,,
El gran aviso,Juan Carlos Salas,,,
El grosor del polvo,Jonathan Hernández,0.0,"Alma has a daughter who has been missing for three years. Ever since she lost her, she has been looking for her tirelessly, putting up wanted posters or supporting brigades and groups of mothers with the same grief, as long as she doesn't have to work at the inn that she runs in Tlatelolco, in Mexico City.",
El matrimonio de Pepe y Constanza,Santiago Mohar Volkow,,,
El norte sobre el vacío,Alejandra Márquez Abella,7.038,"With a keen sense of how to deploy omens that herald change, Alejandra Márquez Abella portrays a period of epochal change in rural Mexico – as seen by those who are usually restricted to the role of passive supporting actor.",Drama
"El reencuentro. Moctezuma y Cortés, 500 años",Miguel Gleason,,,
El roomie,Pitipol Ybarra,,,
El sastre de la muerte,Sandra Martínez,,,
El silencio de mis manos,Manuel Acuña,,,
El sueño de ayer,Emilio Maillé,6.9,"Dámaso Pérez Prado, known as ""el rey del mambo"", came back from the dead to look for the love of his life.",Drama
El suplente,Diego Lerman,5.7,"Lucio, a prestigious university professor, takes the position of substitute teacher at a high school in the suburbs of Buenos Aires, where he grew up. Through tales, novels and poetry, he tries to distract his class from the harsh reality of their everyday lives. But soon, he must step out of his professional duties when Dilan, one of his students, is threatened by a local drug kingpin.",Drama
El trip,Rafael Altamira,0.0,,Music
El viaje,Lucero González,0.0,,Music
El viaje de Paty,Santiago Pedroche de Samaniego,8.0,"Paty, a wirrarika woman scarred by violence fights to preserve her people's self-determination and, by facing her past, turns her pain into a new way of life for her family.",Documentary
El viaje de Ximena,Pau Ortiz Rosell,,,
Ellas,Guadalupe Sánchez Sosa,5.0,"Ela and Yaz are two young women who, despite not knowing each other, have a common history. Both went through an event during childhood that would mark their lives.",Documentary
En primera línea,David Saez Collado,6.0,"Belfast 1972: The politically naive Bernie is trying to bring up a normal family in less than normal surroundings. Her best friend is accidentally shot dead by the IRA, and her neighbours are constantly raided by the army. In this climate of fear she stands up and condemns the murders. Criticising both factions, her call for a ceasefire is interpreted as an attack against the IRA, and as her peace movement takes momentum, she and her family are placed in the frontline.",Drama
Enfermo amor,"Marco Polo Constandse, Rodrigo Nava",7.2,"The story of love struggles of 9 different couples, connected only by the complexity of human relationships.",Comedy
Escocia no es un banco,"Cristian Franco, Carlos Matsuo",0.0,"Los Nuevos Maevans was a hardcore-punk band that emerged in the Baja California 80s years. Now, one of the members wants to reunite the band and revive their resistence and anti-system stance of youth, but the panorama is disheartening / Los Nuevos Maevans fue una agrupación de hardcore-punk que surgió en los años ochenta en Baja California. Ahora, un integrante quiere reunir a la banda y revivir la resistencia y postura antisistema de la juventud, pero el panorama es desalentador.",
Esperanza. Las vendedoras del tren,"Carmen Ramírez Domínguez, José Antonio Ruíz Jarquín, Óscar Flores Solano",0.0,,Documentary
Estación catorce,Diana Cardozo,6.0,"Luis discovers the world at age seven. Violence touches his surroundings and triggers the first encounter with death, the discovery of the fragility of his father, and the learning of masculinity in his vulnerable world. Everything happens between games and perplexities. It is life in a violent Mexico, where only growing implies danger.",Drama
Esther sin H,Alejandra Islas,,,
Estoy cansado de despertarme contigo,Jesús Herrera Jaimes,0.0,,Romance
Eureka,Lisandro Alonso,7.5,"In rural Japan, the survivors of a tragedy converge and attempt to overcome their damaged selves, all while a serial killer is on the loose.",Drama
Expira,Leopoldo Laborde,5.0,A plot that narrates murders within the world of university theater is only the backdrop to discover a story where pain and revenge are the true protagonists. Winner of the award for best Mexican horror film at Feratum 2021.,Horror
Fantasmas con armas,Alexys Mauricio Avendaño Castro,,,
Fantasmas y la última pesadilla,Ian Martín,,,
Farafangana,Lorenzo Hagerman,,,
Fido Fest. El rock progresivo,Allan Márquez,,,
Fiesta nacional,Augusto de Alba,0.0,"Under the festive character of mexican culture live the most hidden mysteries of its identity. A look at the life and work of Kena, a wixárrika artist, Diego, a bullfighter from a century-old dynasty and Arturo, a bricklayer who plays Christ. Intimate essay on the open veins of deep Mexico.",
Finlandia,Horacio Alcalá,6.0,A devastating earthquake hits Oaxaca and causes hundreds to fall victims to its effects. The drastic physical effects are felt in Mexico while across the globe its emotional effects are felt in Finland. This seismic movement has caused an emotional tremor in the lives of the Muxes.,Fantasy
Flores en el valle,Ramón Llaven Zavala,,,
Fugas e irrupciones,Verónica Marín,,,
Furia roja,Hatuey Viveros,3.3,Mother and daughter return to Mexico to escape the US Civil War... and get caught up in the conflict between the French army and the fighters for independence.,Adventure
Gilberto,Juan Aceves,0.0,"Gilberto Gil talks with friends and share his thoughts, influences and reveal his impact on brazilian music and vision of the black people.",Documentary
Goy,Santiago Salinas Sacre,0.0,,Horror
Goya,Pablo Orta,2.0,"César and Mateo are two brothers who live day to day, their plans to spend a great day of entertainment are frustrated by the illness of Goya, the dog of their absent neighbor who lives in semi-abandonment. With the help of Camila, a neighbor, they start a journey to rescue Goya from his fate.",Drama
Grabado en la memoria,Pablo Jato,5.0,,
Háblame de ti,José Eduardo Cortés Moreno,7.864,"Chava, a 17-year-old boy who has a secret admirer, feels more attracted to boys. When leaving his school in a rainy day, Carlos offers him a ride, and so their adventure begins.",Drama
Hacernos así,Rafael Martínez Sánchez,,,
Hasta el fin del mundo,Emiliano Castro Vizcarra,6.847,"In 1999, a woman's life is forever changed after she survives a car crash with two bank robbers, who enlist her help to take the money to a drop in Paris. On the way, she runs into another fugitive from the law — an American doctor on the run from the CIA. They want to confiscate his father's invention – a device which allows anyone to record their dreams and visions.",Drama
Heroico,David Zonana,2.0,"The inner workings of what a military looks like. It is the story of a young man who represents thousands who enter the armed forces and the process they must go through. They enter out of necessity, for lack of opportunities, and there they find social security, but at a cost that is mostly psychological.",Drama
Hijas del maíz,Alfonso Gastiaburo,,,
"Hope, Soledad",Yolanda Cruz Cruz,0.0,,Drama
Huesera,Michelle Garza Cervera,5.826,"Valeria's joy at becoming a first-time mother is quickly taken away when she's cursed by a sinister entity. As danger closes in, she's forced deeper into a chilling world of dark magic that threatens to consume her.",Drama
Impostor(es),Rocko D. Márquez,5.812,"A former child art prodigy and second generation petty thief arranges to buy his way out of prison to spend time with his ailing son, only to be forced to alter his plans and commit one more job for the man who financed his release.",Thriller
Inmersión,Nicolás Postiglione,7.2,"A middle-class father Ricardo (Castro) takes his two daughters to their lakeside family house in southern Chile.Out on a yacht one day, they see three young local fishermen waving at them from another boat which is rapidly taking on water. Ricardo refuses to go and help, arguing they look suspicious, much to his older daughter’s exasperation. His prejudices will have dramatic consequences.",Thriller
Instrucciones para decir adiós,Pablo Arredondo,,,
Israel,Ernesto Baca,0.0,"Two marginal beings meet, go out on the road, dream of a possible fate while the past haunts them.",
Jezabel,Hernán Jabes,7.0,"Four upper-class high school students who live carefree between drugs, games and love until one of the girls, Eli, is brutally killed. Sixteen years later, the memory of the crime torments Alain, another member of the group.",Thriller
Juguemos en el bosque,"Alejandra Cárdenas, Guillermo Granillo",,,
Karnawal,Juan Pablo Félix,6.476,"During a carnival, near the border between Argentina and Bolivia, a young Malambo dancer prepares for the most important competition of his life. When his ex-felon father returns, he jeopardizes everything by dragging his son into the criminal world.",Drama
La bruja y el demonio,Rubén Colin Gama,9.0,Mexican feature film,
La caída,Gabriel Ripstein,7.086,"Mariel is a veteran elite diver who has one last chance at the Olympic Games. However, when a terrible truth comes to light, Mariel faces her biggest personal question: Is winning her true dream?",Drama
La civil,Teodora Ana Mihai,7.882,"Cielo is a mother whose teenage daughter is kidnapped in Northern Mexico. When the authorities offer no support in the search, Cielo takes matters into her own hands and transforms from housewife into a vengeful militant.",Drama
La colonial,David Buitrón Fernández,2.0,"Located in one of the oldest and most popular neighborhoods in Mexico City, La Colonial is the refuge of those who, faced with the adversity of modern society, have designed their own community in it.",
La cura es la locura,Natalia Bermúdez,,,
La exorcista,Adrián García Bogliano,5.754,"Ophelia, a young nun recently arriving in the town of San Ramon, is forced to perform an exorcism on a pregnant woman in danger of dying. Just when she thinks her possession has ended, she discovers that the evil presence hasn't disappeared yet. The director of the award-winning Here Comes the Devil and Late Phases adds a new twist to possession movies in one of this year's Latin American horror surprises.",Horror
La gran historia de la filosofía occidental,Aria Covamonas,,,
La hija de todas las rabias,Laura Baumeister de Montis,4.25,"Nicaragua, today. Eleven-year-old María lives with her mother Lilibeth on the edge of an immense rubbish dump. Their future depends on selling a litter of purebred puppies to a local gang member. When the deal falls through, Lilibeth has to move to the outskirts of the city and leave María to work at a recycling factory. The days go by with no sign of her mother's return. María feels abandoned, confused and angry. One night she meets Tadeo, a kind and romantic boy determined to help her find her mother.",Drama
La libertad fantasma,Gastón Andrade Juárez,7.6,"This Surrealist film, with a title referencing the Communist Manifesto, strings together short incidents based on the life of director Luis Buñuel. Presented as chance encounters, these loosely related, intersecting situations, all without a consistent protagonist, reach from the 19th century to the 1970s. Touching briefly on subjects such as execution, pedophilia, incest, and sex, the film features an array of characters, including a sick father and incompetent police officers.",Comedy
La llevada y la traída,Ofelia Medina,0.0,,Documentary
La novena infinita,"Ricardo Yahuaca Vázquez, Jazim Iván Meza Beltrán",0.0,This documentary shows a historic moment in the life of the dancers and creators that form part of this play based on the legendary masterpiece by Beethoven during one of the major health crisis of modern times.,Documentary
La novia de América,Alfonso Albacete,6.6,"Ana, a young Spanish woman who has just been dumped by her boyfriend, and her brother Tono, receive a call from their father to tell him that he is getting married in Mexico to a woman he met on the Internet. When they get there, they discover that the girl is 30 years younger than her father and they begin to live with her new in-laws, with the inevitable cultural clashes that this will entail.",Comedy
La poeta del ring,Mariana Tames,0.0,"Women's boxing in Mexico was illegal, until Laura Serrano, a passionate lawyer, began to practice it clandestinely. A series of events jeopardize her passion, leading her to launch a battle to legalize the sport in Mexico and achieve gender equality in boxing.",Documentary
La primavera de los anacoretas,Andrés Kaiser,,,
La puerta verde,Guillermo García Vejar,,,
La recua,"Darío Higuera Meza, Trudi Angell",0.0,"Darío Higuera Meza, a 70-year-old saddle maker in Baja California, traveled 200 miles in 20 days by muleback, herding a pack train of donkeys all the way to La Paz. Overcoming health issues, rattlesnakes, and hot days on dusty, forgotten trails, he and his family carried a load of goat cheese, dates, sugarcane candy, and wine. They made this journey to honor the memory of los arrieros de las recuas, the muleteers of Baja’s donkey pack trains.",Documentary
La vida en el silencio,Rodrigo Arnaz,7.0,"A young musician and single parent battles every day to communicate with his autistic son through music, until one day the kid s mother, shows off after eight years of absence, only to reveal a truth that will change his life as he knew it.",Drama
La vida no vale nada,Alejandra Sánchez Orozco ,8.3,"Pablo, a wandering laborer, has imprisoned himself in a hell of alcoholism. Cruz, a widow, reaches out to the troubled man, but even her compassion may not be enough to save him.",Drama
Lalo y Luquín,Jorge Curioca,,,
Las hijas del viento,José de Jesús Camacho Cabrera,,,
Las hostilidades,M. Sebastián Molina,10.0,"In the deserted, littered streets of Santa Lucía, nothing ever seems to happen. But life behind the concrete walls is dominated by worry and uncertainty. When night falls, few dare to go outside for fear of the drug gangs. And even in broad daylight, there’s the danger of muggings, robberies, and murders.",Documentary
Leonora después del pincel,Alan David Cabrera,,,
Ligando padre,Pitipol Ybarra,,,
Lluvia,Rodrigo García Saiz,5.6,"Buenos Aires. It rains. Alma is in her car, stuck in Buenos Aires' traffic. She has recently broken-up with her boyfriend, and she has been living in her little car since then. Suddenly, Roberto gets into the car. He's wet and hurt, he's tired of the rain, of broken dreams. He has come back after thirty years abroad. In this new city he has nothing and nobody, just a father in coma, whom he has no relationship. He promises to leave the car as soon as the rain ceases. Alma, not knowing exactly why lets him in. That night will be different. And the next few days too. There's something new to find in the depth of their hearts.",Drama
Lo contrario de la muerte,Carlo Corea,,,
Lo que queda en el camino,"Jakob Krese, Danilo do Carmo",0.0,"Lilian and her four kids are in search for a better life. She dares to leave her violent husband in Guatemala and joins the migrant caravan in order to make it to the Mexican-US border. Being a single mother, this is her only chance to make the dangerous way through Mexico.",Documentary
Lockdown Inside Me,León Alvarado Guerrero,,,
Los árboles mueren de pie,"Fany Fulchiron, Ronan Kerneur",0.0,,
Los brujos,Christopher Murray,4.6,A group of researchers gathering material for a magazine article on endangered wildlife encounter vampiric leopard women in the heart of the African jungle.,Horror
Los codos de Monterrey,Gil Morales,,,
Los fundadores,Diego Hernández,5.0,"Despite a great effort, the professional development of Diego, Andres and Renee, university students, is affected due to a diversion of resources by the authorities.",Drama
Los hermosos vencidos,Guillermo Magariños,6.1,"A boy and a girl who have just met transport a corpse on request to the north of Mexico. When the police discover them at a routine check, they are forced to flee. Forced to team up, they will abandon their secrecy and mistrust while trying to assert his only heritage: a dead man who they only know is worth money if they manage to take him to his destination.",Drama
Los hilos de Eva,Alma Valeria Ruiz Urbina,,,
Los minutos negros,Mario Muñoz,5.0,"In the late 1970s, a group of young cops lead by ex-musician turned detective Vicente Rangel will face the darkest minutes of their lives while attempting to catch a serial killer of young girls in a corrupt oil town in the Gulf of Mexico.",Crime
Los niños invisibles (Home is Somewhere Else),"Carlos Hagerman, Jorge Villalobos",,,
Los plebes,"Eduardo Giralt Brun, Emmanuel Massú",7.0,"A young group of millennial sicarios loiters around Sinaloa while trying to cope with growing up, their work and desires for the future.",Documentary
Los sones de los tejedores,Ismael Vásquez Bernabé,,,
Los sueños y los días en Cuba,Jimena Perzabal,,,
Los vigilantes del Ródano,Gil Morales,0.0,,
Luchadoras,"Paola Calvo, Patrick Jasim",10.0,"The courageous female wrestlers of Ciudad Juárez, a city known for its high murder rate against women - who fight in the ring and in their daily lives to redefine the image of what it means to be a woman in Mexico.",Documentary
Luciana,Minerva Rea,5.0,"Luciana is a lonely Woman who moves into an old building in Mexico City, which is inhabited only by hysterical Women.",
Luna,Romeo De Paz,5.6,"When Luna’s family is killed in cold blood on a mountain vacation, she barely escapes, and has to discover she’s been living a lie: her dad was a Russian secret agent, and her family was just a front. Luna has the opportunity to flee the country. But first she wants revenge.",Thriller
Luna negra,Tonatiuh García,2.0,"The eastern part of Mexico, the province of Veracruz, the quiet town of Jalcomulco, whose life flows steadily along with the waters of the los pescados river. in the center of the plot is the life of a large family: an older sister with a young son, an alcoholic middle brother whose wife left for another, a younger sister–an applicant who dreams of escaping to the capital, and a grandfather in dementia, who once drove trains until the government sold them to America along with the rails. unexpected news will raise the whole city to protest and force each of the heroes to make decisions that will change their destinies forever.",Drama
Malcriados,Gabriela Sobarzo,7.872,,Comedy
Malvada,José Manuel Cravioto,7.4,A desperate mother contacts his son's ex-girlfriend to tell her that he's about to marry a wicked witch.,Comedy
Mañana el fuego,Rodrigo Mendoza,0.0,"Filmed in November 2019 in Santiago de Chile, amid the social outbreak and the most significant demonstrations that the country has had throughout its history, this documentary addresses the critical role played by Chilean musicians in  its development.",Documentary
" Mariachis Son, vida y alegría",Amador Arellanos Juárez,,,
Mazunte,Saudhi Batalla y Eva Bodenstedt,,,
Me'e Sacramento,Florencia Gómez Sántiz,,,
Melancolía,Jorge Xolalpa,5.0,A hospice nurse takes care of terminally ill patients all while trying to move past the tragedy of having lost her daughter in a school shooting.,
Mi cuerpo es una estrella que se expande,Tania Hernández Velasco,,,
Monstruo de Xibalbá,Irene Espitia,,,
Mostro,José Pablo Escamilla,6.3,"A couple of teenage factory workers spend their afternoons consuming chemical substances in a self-constructed shack. The ecstatic trips and the visions they experiment make them forget for a moment about their noisy industrial city life. But when Alexandra disappears right before his eyes, Lucas must deal with a corrupted system. His visions decay, just like the monster that imprisons them.",
Nada que ver,Kenya Márquez,3.667,"After Carlos is tasked to care for Paola, both characters must work out their differences to make their time together more pleasant. As time goes on, they are faced with lessons about trust, mutual respect, and perhaps love.",Romance
No nos moverán,Pierre Saint-Martin Castellanos,6.117,"Jamie Fitzpatrick and Nona Alberts are two women from opposites sides of the social and economic track, but they have one thing in common: a mission to fix their community's broken school and ensure a bright future for their children. The two women refuse to let any obstacles stand in their way as they battle a bureaucracy that's hopelessly mired in traditional thinking, and they seek to re-energize a faculty that has lost its passion for teaching.",Drama
No quiero ser polvo,Iván Löwenberg,6.0,"Bego, a housewife in a mid-life crisis, lives bored and afraid of being inconsequential, however, her life evolves into a mysterious game once she enters into a cult that preaches three days of darkness...",Drama
Nogales,Roger Ellis Frazier,6.0,"The Spanish journalist Manuel Chaves Nogales (1897-1944) was always there where the news broke out: in the fratricidal Spain of 1936, in Bolshevik Russia, in Fascist Italy, in Nazi Germany, in occupied Paris or in the bombed London of World War II; because his job was to walk, see and tell stories, and thus fight against tyrants, at a time when it was necessary to take sides in order not to be left alone; but he, a man of integrity to the bitter end, never did so.",Documentary
Nos hicieron noche,Antonio Hernández,10.0,"Supernatural visions and indigenous folk myths intrude in an unpredictable and dreamlike Mexican film about a family living in the shadow of the apocalypse. A living, organic work.",Documentary
Nunca seremos parte,Amelia Eloisa,0.0,After the failed marriage of her parents and the discovery of her mother's sexual orientation; Emi arrives in complete solitude to an adolescence flooded with doubts about her own sexual preferences and her family nucleus.,
Oaxacalifornia El regreso,Trisha Ziff,0.0,"The Mejia family emigrated from Oaxaca to Fresno, California 40 years ago. Filmmaker Trisha ZIff filmed the family in 1996, and returns now to see the changes that have settled over them, and follows the family on their return to Mexico.",Documentary
Obispo rojo,Francesco Taboada Tabone,,,
Ojos que no ven,Alfonso Zárate Santos,6.0,"Elena is in charge of the library in a private school. His monotonous life is affected when a new child arrives at school with whom he is obsessed and whom he treats like his son. One day he decides to take him away, generating a crisis in his real mother, Andrea, who will do everything possible to get him back.",Drama
Operación Feliz NavidadLa estafa de los duendes,Alonso Iñiguez,,,
Pacientes recurrentes,Mario Bogart,2.0,"A dysfunctional and hilarious group of rehab addicts seek to fulfill the dream of an indigenous girl with terminal cancer. As they try to bring her back home, they dare to confront the mistakes of their own pasts.",Drama
Padre Pablo,José Luis Isoard,6.5,"Nicolas Entel's searing documentary tells the story of Pablo Escobar -- Colombian drug kingpin, murderer and family man -- through the eyes of his son Sebastian as well as the sons of two of Escobar's most prominent victims. Sebastian shares stories of living in luxury and on the lam, but more significantly, he attempts to end the cycle of bloody retribution and make peace with two of the men his father so deeply wronged.",Documentary
Paisajes en la piel,"Pablo Chavarría Gutiérrez,Diego Amando Moreno Garza",,,
Pandemonium,Emmanuel Panizzo,4.5,A former high school student who always wanted to be a cheerleader decides to reopen the cheerleading program at her former high school after years of closure for being targeted by a serial killer.,Comedy
